caseid,hh_size,age,sex,race,hispanic,married,gen_health,educ_level,emp_status,worker_class,industry,spouse_emp,num_children,well_rested,life_satisfaction,leisure_min,work_min
20210302210121,1,22,F,White,0,0,Very Good,Bachelors,Employed,Government,Accomodation & Food Services,Not Applicable,0,A Little,8,360,480
20210302210134,3,19,F,White,0,0,Excellent,Some College,Employed,Government,Management & Education,Not Applicable,0,Very,8,200,0
20210302210139,4,15,F,White,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,605,0
20210302210146,3,24,M,White,0,0,Very Good,Bachelors,Employed,Private,Management & Education,Not Applicable,0,Somewhat,4,360,0
20210302210170,2,24,F,White,0,0,Good,Bachelors,Employed,Government,Other Services,Not Applicable,0,Somewhat,6,263,514
20210302210179,3,21,M,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Not at all,6,300,525
20210302210180,3,23,F,White,0,0,Good,Bachelors,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,6,360,0
20210302210188,3,20,M,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,5,131,268
20210302210195,1,25,M,Black,0,0,Excellent,Masters,Employed,Self-Employed,Real Estate,Not Applicable,0,Very,10,450,370
20210302210199,5,15,M,White,0,0,Excellent,Middle,Employed,Private,Other Services,Not Applicable,0,A Little,8,150,30
20210302210201,4,17,M,White,244,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,285,0
20210302210204,4,21,M,Asian/Pacific Islander,0,0,Excellent,HS Graduate,Employed,Self-Employed,Real Estate,Not Applicable,0,A Little,8,390,0
20210302210208,4,25,F,2+ Races,0,0,Very Good,Some College,Employed,Private,Accomodation & Food Services,Employed,2,Somewhat,6,380,0
20210302210210,2,22,F,White,0,0,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,9,20,0
20210302210213,3,24,F,Black,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,2,Somewhat,10,160,0
20210302210214,4,16,M,White,1,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,8,230,0
20210302210220,4,19,M,White,0,0,Good,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,3,310,474
20210302210232,4,15,M,Black,0,0,Fair,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,180,455
20210302210234,1,19,M,White,1,0,Very Good,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Very,5,220,475
20210302210238,3,18,M,White,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,5,234,0
20210302210250,2,25,F,Asian/Pacific Islander,0,1,Very Good,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,7,160,0
20210302210252,1,22,M,White,0,0,Fair,HS Graduate,Employed,Private,Other Services,Not Applicable,0,Somewhat,7,525,0
20210302210254,4,16,M,White,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,5,300,0
20210302210259,6,16,F,Black,0,0,Good,Some HS,Employed,Private,Accomodation & Food Services,Not Applicable,0,Somewhat,7,50,240
20210302210270,3,18,F,2+ Races,1,0,Fair,Some HS,Employed,Private,Accomodation & Food Services,Not Applicable,0,A Little,4,325,0
20210302210276,2,15,F,Asian/Pacific Islander,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,305,0
20210302210280,2,19,F,White,0,0,Very Good,Some College,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,4,545,0
20210302210282,1,24,M,White,1,0,Very Good,Bachelors,Employed,Government,Other Services,Not Applicable,0,Somewhat,7,159,590
20210302210289,4,24,F,White,244,0,Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,3,300,300
20210302210295,4,16,M,Asian/Pacific Islander,0,0,Excellent,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,414,0
20210302210299,5,19,F,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,7,20,526
20210302210309,2,20,M,Black,0,0,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,3,695,0
20210302210311,3,21,F,White,1,0,Fair,Some College,Employed,Private,Accomodation & Food Services,Not Applicable,0,Very,5,420,0
20210302210313,4,18,M,White,0,0,Good,Some HS,Unemployed,Not Applicable,Other Services,Not Applicable,0,Very,7,463,21
20210302210315,2,22,F,White,1,0,Very Good,Some College,Employed,Private,Accomodation & Food Services,Employed,0,Very,6,60,490
20210302210317,8,18,M,White,1,0,Excellent,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,2,600,0
20210302210326,3,21,M,White,0,0,Very Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,5,200,330
20210302210332,5,19,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,7,313,0
20210302210333,1,23,F,Black,0,0,Very Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,A Little,6,40,300
20210302210500,2,66,M,White,0,1,Good,Some College,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Employed,0,Somewhat,9,326,0
20210302210505,6,37,F,White,0,1,Fair,Some College,Unemployed,Not Applicable,Other Services,Employed,3,A Little,8,300,0
20210302210507,2,64,M,Black,0,1,Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,0,Very,7,325,370
20210302210508,2,45,F,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,1,Somewhat,8,70,705
20210302210515,2,68,F,White,0,1,Very Good,Professional/PhD,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,3,385,0
20210302210517,2,80,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,480,0
20210302210528,1,76,F,Asian/Pacific Islander,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,9,330,0
20210302210533,1,44,M,Black,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,5,195,0
20210302210537,2,66,F,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,420,0
20210302210539,1,59,M,Black,0,0,Fair,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,6,75,720
20210302210544,2,52,F,White,0,0,Good,Some HS,Employed,Self-Employed,Management & Education,Not Applicable,0,Somewhat,8,195,365
20210302210548,5,48,F,White,0,1,Good,Some College,Employed,Private,Real Estate,Employed,1,Somewhat,7,165,620
20210302210553,4,50,M,White,0,1,Fair,Some College,Employed,Private,"Agriculture, Mining, Construction",Employed,2,Somewhat,8,644,45
20210302210555,2,60,F,White,0,1,Excellent,Bachelors,Employed,Private,Real Estate,Employed,0,A Little,10,265,460
20210302210563,3,40,M,White,0,0,Excellent,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Employed,1,Very,8,505,0
20210302210571,1,35,F,Black,0,0,Very Good,Masters,Employed,Private,Management & Education,Not Applicable,0,Very,6,180,770
20210302210574,2,71,F,White,0,1,Very Good,Some College,Employed,Private,Other Services,Not Employed,0,Very,9,153,238
20210302210575,2,69,M,White,0,1,Good,Professional/PhD,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,8,599,0
20210302210576,1,55,F,Black,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,735,0
20210302210579,1,69,F,Black,0,0,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,535,0
20210302210580,1,72,M,White,0,0,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,360,0
20210302210581,1,85,F,White,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,515,0
20210302210583,2,69,M,White,0,1,Poor,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,2,653,0
20210302210586,2,46,F,White,1,1,Excellent,Bachelors,Employed,Government,Management & Education,Employed,0,Very,8,150,475
20210302210589,3,36,F,2+ Races,0,1,Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,A Little,8,30,60
20210302210590,2,73,M,White,0,1,Very Good,Professional/PhD,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,0,Very,9,90,0
20210302210592,2,80,M,Black,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,6,816,0
20210302210593,3,66,F,White,0,1,Good,Bachelors,Employed,Self-Employed,Health Care & Social Services,Employed,0,Not at all,8,415,0
20210302210594,1,30,M,Black,0,0,Very Good,Bachelors,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,6,250,0
20210302210595,3,34,F,Asian/Pacific Islander,0,0,Very Good,Bachelors,Employed,Self-Employed,Real Estate,Not Applicable,1,Very,5,205,120
20210302210598,2,31,M,Asian/Pacific Islander,0,0,Very Good,Masters,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,8,120,0
20210302210603,5,57,M,White,0,1,Fair,Some College,Unemployed,Not Applicable,Other Services,Not Employed,1,A Little,1,390,244
20210302210605,1,72,M,White,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,5,90,0
20210302210606,1,53,M,Black,0,0,Fair,HS Graduate,Employed,Private,Real Estate,Not Applicable,0,Somewhat,10,0,461
20210302210613,1,54,F,White,0,0,Fair,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,A Little,7,327,510
20210302210614,3,52,M,White,0,1,Good,HS Graduate,Employed,Private,Accomodation & Food Services,Employed,0,Somewhat,7,240,490
20210302210616,3,43,M,White,0,1,Good,HS Graduate,Employed,Private,Real Estate,Employed,0,A Little,9,775,0
20210302210621,4,36,M,White,0,1,Good,Some College,Employed,Private,Finance & Insurance,Employed,2,Somewhat,5,135,240
20210302210630,2,63,M,White,0,1,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Not at all,8,946,0
20210302210632,3,40,M,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,Very,7,0,590
20210302210634,2,42,F,Black,0,1,Very Good,Professional/PhD,Employed,Self-Employed,Real Estate,Employed,0,A Little,4,113,656
20210302210635,2,56,M,White,0,0,Fair,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,1,Very,8,262,459
20210302210641,1,69,M,White,0,0,Good,Professional/PhD,Employed,Private,Management & Education,Not Applicable,0,Somewhat,4,253,470
20210302210647,2,48,M,White,0,1,Good,Bachelors,Employed,Self-Employed,Accomodation & Food Services,Employed,0,Somewhat,5,130,600
20210302210649,3,41,F,White,0,1,Good,Professional/PhD,Employed,Private,Health Care & Social Services,Employed,1,Somewhat,9,0,0
20210302210650,1,66,F,White,0,0,Very Good,Some HS,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,8,685,0
20210302210653,5,35,F,White,0,1,Very Good,Masters,Employed,Private,Management & Education,Employed,3,Somewhat,8,30,505
20210302210661,3,65,M,Black,0,1,Excellent,Some College,Employed,Government,Management & Education,Not Employed,0,Very,9,215,660
20210302210663,2,68,M,White,0,1,Excellent,Masters,Employed,Self-Employed,Real Estate,Employed,0,Somewhat,7,143,575
20210302210666,2,60,F,White,0,0,Good,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Not Applicable,0,Somewhat,7,670,0
20210302210669,1,64,F,White,0,0,Fair,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,7,265,405
20210302210671,5,56,F,Black,0,0,Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,Very,10,120,0
20210302210674,1,61,M,White,0,0,Good,Some HS,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,5,200,0
20210302210675,3,30,M,White,0,1,Good,HS Graduate,Employed,Self-Employed,Real Estate,Employed,1,A Little,7,100,390
20210302210676,7,50,M,White,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,5,Not at all,4,60,0
20210302210677,2,61,F,White,0,1,Excellent,Masters,Employed,Private,Health Care & Social Services,Not Employed,0,Somewhat,10,180,190
