INJ_BODY_PART,NARRATIVE
BACK,Employee lifting heavy gears install plant Injured states felt L shoulder pain failed report Injured later saw personal doctor recently reported Supervisor Not loosing time going therapy
BACK,The miner feels like sometime course day something stain back feel effects returned home evening Miner initially felt like strain bad enough stop duties later decided impaired
KNEE,While descending three step ladder subject slipped second rung missed first rung upon contacting ground suffered knee strain
KNEE,Employee return behind bunker deep water twisted right knee
KNEE,The EE hanging rib mesh underground He looking roof stepped piece coal caused fall ground land left knee
SHOULDER,Employee stated strained left shoulder using jumper cable changing ram car batteries He taken work
SHOULDER,Employee placing gallon water jug top dispenser got pain right shoulder Employee strained right shoulder
HAND,EE section mechanic making splice miner cable went lower cable left hand came contact razor knife caused laceration required stitches
MULTIPLE,The employee stated hanging curtain cross cut left piece rock fell first bolt rib striking employee top head The employee begin missing work
HAND,While retrieving head board loose yet still banded unit head boards wood The employee cut hand exposed sharp edge banding material The cut approx deep long requiring stitches right palm
SHOULDER,Employee walking open crosscut stumbled fell He tried catch extending arm felt pain right arm shoulder The employee began missing work December electing surgery shoulder
EYE(S),Miner traveling home work noticed pain left eye Notified supervisor Taken doctors office small piece metal removed eye Miner remember injury occurred
KNEE,EE cleaning bath house He attempted step bench pulling water hose change room He hung toe bench felt pain knee He diagnosed twisted knee This accident became reportable employee started missing work surgery
FINGER(S),EE taking suction hose near pinner head Another EE moved pinner catching EEs middle finger pinch point This mashed finger requiring stitches Note Paper work got misplaced
BACK,Haul truck drove though rough spot haul road jarring operator Pain meds prescribed
BACK,While exiting skid loader ee operating slipped bucket sprained lower back Although injury occurred become reportable I received DRs paperwork
FINGER(S),The injured loading roof bolt plates onto scoop cut glove causing laceration
SHOULDER,Was putting crib feeder help get low boy slipped ice felt strain shoulder This employee miss work June th
ANKLE,The employee stated installing middle roof bolt Entry rock fell inby supported top startling While trying move away left foot caught rocks mine floor While moving left foot twisted spraining ankle He stated supervisor felt burning left ankle He report work scheduled Monday shift
EYE(S),Using electric grinder grind metal frame Small speck metal eye found miner home later evening He tried flush water went urgent care next morning He wearing safety glasses face shield speculate happened Doc removed object prescribed ointment
MULTIPLE,Employee operating Pc track hoe oring blew spraying oil back machine Operator going steps using hand rails see leak slipped fell hip right shoulder right leg
HAND,Employee struck left hand hammer hammering winch rope hook
SHOULDER,A hipressure hose fully engaged caused EE pushed long wall face The EE sustained dislocated right shoulder laceration ti left hand required sutures
EYE(S),While loaded large rock dumped bed end dump rolled side bed causing truck twist blow broke window popping glass shard fly scratch eye requiring presription pain
BACK,Employee opening bottom discharge gate Rail Car He using inch bar turn gate mechanism The gear mechanism disengaged gear track pushing bar His momentum caused fall forward He caught hands suffered strain lower back
HAND,Employees left hand got pinched support frame drill head diamond drill machine This resulted fracture hand
FINGER(S),Employee fixing grounded miner cable cutting semiconductor belt slip cut left thumb requiring stitches
KNEE,Employee going answer phone put knee pipe rolled knee popped twisted
BACK,Employee pulling lever let prell prell truck back started hurt
MULTIPLE,Effected employee handing return roller guard coworker guard slipped coworkers hand fell striking effected employee hard hat shoulder The force impact caused employee bite breaking front tooth chipping front tooth also sprained neck bruised right shoulder
FINGER(S),Passing brick A brick fell landed two fingers left hand
SHOULDER,While driving bpm berm IW distracted Upon looking back road wind row pulling edge berm
MULTIPLE,Employee returning dump area rock truck towards pit hit hole road causing pain neck lower back Employee transported Brookwood ER Birmingham Employee scheduled see Dr
BACK,Employee standing next rear bumper roof bolter back line curtain A piece stone struck behind line curtain back Began losing time
BACK,Employee handling material line chute felt discomfort lower back He sent OccMed evaluation diagnosed low back strain Returned work restrictions
MULTIPLE,The employee stated rock fell roof bolts striking head Please note employee miss first day work January
FINGER(S),Employee breaking material covers miner sledge hammer When struck hammer went thru finger mashed handle miner cover This resulted left pinky finger fractured
FINGER(S),While holding end pipe employee attempted swing end reject bin pinching pinky finger handrail pipe No days missed restricted duty RTW regular duty
BACK,Employee shoveling conveyor head strain back
BACK,EE lifting HP cooling system pump motor BPM room felt something pull lower back took hospital Dr said right could go back work Started back Doctor took work meet requirements report till
KNEE,Employee attempting turn valve right leg slipped causing injury right knee
SHOULDER,The incident occurred April employee slipped stairs reported pain shoulder The incident became reportable seen DR prescribed physical therapy put restrictions
BACK,The employee bending roof bolt face felt pain lower back
FINGER(S),EE cleaning north cooler ompressed air tool EE inserted tool cooler tube tube reached bottom insertion EEs finger got pinched degree union seal block The EE wearing gloves time incident The injury right hand pointer finger required four stitches
HAND,Employee climbed rubber tire dozer stood The sun eyes lost balance He fell right hand struck lock ring big tire laying ground
HAND,Employee using wrench wrench slipped bolt cut left hand struck piece metal
BACK,EE hanging fly pad face section He stepped hole twisted lower back EE work September He work September th th th He work September th th th th th He till October th th th On Oct th worked hours He worked since Oct th date
ANKLE,The employee walking refill rock duster stepped rock twisting right ankle
EYE(S),The employee process changing pressure relieve switch suddenly blew The reason occurred employee failed let hydraulic system resulting incident The employee hit right eye hydraulic oil Sent local ER complete eye washing medication
BACK,Worker strained lower back setting extension ladder
SHOULDER,Turning two inch water line valve felt pain left shoulder He began losing time next regularly scheduled shift
MULTIPLE,While getting mantrip June jammed head neck waterline strained lower back The impact knocked ground dazed He report incident time sought medical assistance diagnosed Lumbar Cervical strain began working restriction
SHOULDER,Employee raking kiln grates He pulling large piece grates felt pull left shoulder
KNEE,The employee stated dragging ventilation tube stepped rut made shuttle car tire twisted left knee The incident became reportable employee given time work doctor
BACK,Employee states carrying supplies working face slipped strained back
SHOULDER,Employee bending roof bolt felt pain right shoulder causing strainsprain shoulder
FINGER(S),While process changing drill bit blast drill employee sustained cm laceration left ring finger A small burr steel bit sliced employees glove caused laceration
EYE(S),EE brushing dirt truck frame strong wind blew dirt safety glasses getting dirt right eye EE went hospital got eye cleaned
EYE(S),Employee installing volt breaker short circuit occurred Prescription ointment applied employees eyes treatment flash injury resulted
KNEE,Climbing ladder top deck station knee twisted popped Employee done work top deck Station went ladder get turned sideways get ladder popped left knee This first aid incident reveal require surgery May
BACK,Employee tugging pry bar felt burning lower back
HAND,Mechanic knocking bearing race hub ground using brass drift hammer The brass drift edge slipped surface race hit drift This caused left hand smashed stud hub
MULTIPLE,During mine explosion EE fatally injured
BACK,Employee bent move object When returned standing position felt pain lower back
SHOULDER,Stepping water truck missed step fell ground Seen ER diagnosed head injury released full duty Contacted safety pain head left shoulder Seen diagnosed shoulder strain released full duty referred physical therapy He progressing Medical reportable treatment due physical therapy
KNEE,Employee slipped slurry spill cleaning twisted right knee He seek medical attention time On requested see doctor knee still hurting On employee saw doctor xray negative got corticosteroid injection inflammation MRI scheduled
MULTIPLE,DRIVER STATES THAT HE FELL ASLEEP AND DROVE INTO A SUMP HOLE ON HAUL ROAD SEAT BELT BROKE AND HE LANDED ON FIRE EXTINGUISHER DRIVER WAS TAKEN TO THE HOSPITAL BY AMBULANCE AND DIAGNOSED WITH CONTUSION OF RIGHT HIP AND LOWER BACK
FINGER(S),EE stated installing eye bolt holding bolt swung boom bolter bolt pushed wrench onto bolt remove finger The finger tip became caught bolt wrench causing avulsion finger fracture The avulsion required stitches
ANKLE,Miner working offsite He dump truck loaded back hoe He went get truck coming He maintain points contact safely ground On last step let go turn jump His left foot got caught fell ground breaking right ankle
MULTIPLE,Employee examining shuttle car roadway prior operating shuttle car piece rock approximately long X thick X wide fell roof support The rock struck head left shoulder
BACK,While pushing hose slip fitting felt something back
MULTIPLE,Employee bolting tophe drilling draw rock fell hitting head neck back
KNEE,Slipped slurry floor drum filter Twisted knee PLACED ON RESTRICTED DUTY
HAND,EE removing bearing brace EE hand slipped hammer handle due grease causing hand strike machine surface causing laceration left hand
EYE(S),EE welding top polycom roll Area heated propane diesel heaters maintain proper temp roll welded per specifications Goggles welding hood lenses worn EE flushed eyes irritation began shift however burning sensation increased end shift
FINGER(S),An employee assisting installation supplemental roof support using cobra drill piece roof rock struck left pinky finger
FINGER(S),Employee mechanic trying line two holes scaler boom insert roller got pinkie finger caught pinch point causing laceration
HAND,Driving bearing race steering stabilizer hammer chipped puncturing left hand
SHOULDER,Was using vacuum hose remove debris dome tunnel Strained upper back pulling vacuum hose
SHOULDER,The employee roofbolting piece rock rib screen wire installing fell striking right shoulder
BACK,Employee disassembling guard help another employee pulling guard jerking motion felt strain lower back Employee went clinic placed modified duty
BACK,EE turned small coal sieve retrieve magnetite water coal washed This sieve rests pivot stand turned weekly EE placing sieve working position strained back He continued work sought medical attention EE taken work effective
FINGER(S),Employee using belt knife cut rope knife slipped cutting right thumb sutures required Employee returned regular duty restriction
EYE(S),Prod Supt received voice mail message employee Sunday employee going doctor eye irritation Metal removed eye local medical facility No incident specific event reported employees last shift The incident still investigated
BACK,Miner develop back pain operating mechanical scaler
SHOULDER,The employee breaking bolt loose planetary miner cheater bar The bar slipped something pulled right shoulder Employee started missing work
SHOULDER,injured reinstalling guard removed allow cleaning overland belt line injured lifted guard felt tear right shoulder belt locked
BACK,Fueler attempting dismount Komatsu excavator lost footing fell approx ground landing back He transported hospital released bruising
EYE(S),Loading rock truck pit swung around get another bucket rock dust came left side window opened little help keep front window fogging
KNEE,Strained right knee climbing mobile equipment
SHOULDER,As tramming miner standing red zone struck boom
FINGER(S),While grinding sheet metal Bench Grinder located Maintenance Shop Grinder caught metal pulled pulling EEs left handthumb edge grinder lacerating EEs left thumb
FINGER(S),Employee putting cover back hydraulic hoses underneath bat wing miner The bat wing supported slate bar held another employee The bar slipped causing bat wing fall left hand Resulted stitches fracture fingers
EYE(S),Employee pinning got dust eyes
KNEE,EE walking work locations slipped ice strained left knee
BACK,Employee pulling slack bolter cable knees twisted back
BACK,Employee picked rock mine traffic area strained back
SHOULDER,EE picked box felt pop shoulder EE started losing time
MULTIPLE,Had piece rock fall ATRS roof bolter onto shoulder neck
BACK,Employee lifting casing experienced low back pain Injury reported supervisor
MULTIPLE,While roof bolter sitting idle ee attempted retrieve materials bolter During process bolter operator began move bolter ee struck canopy He saw physician diagnosed bruising
ANKLE,Employee dismounted ladder stepped rock twisted ankle
FINGER(S),Employee removing nut liner bolt using ridged threader He positioned wrench nut holding wrench frame machine He inadvertently stepped guarded foot activator activating machine pinching finger wrench handle machine frame
FINGER(S),While employee building stopping Section entry injured left little finger Employee treated Plateau Medical Center diagnosed small fracture also hyperextended growth plate
BACK,Employee operating rock truck going hill The truck spun slid backwards straining back Employee report supervisor went work
BACK,While prying piece track rail bolt installation ee experienced pain back He returned work next scheduled shift began missing work After receipt review medical recordsexcused determined reportable incident
BACK,Employee operating Mack Coal truck truck struck pot hole The air ride seat lost air causing employees seat bottom injuring lower back The employee placed work due diagnosis bulging disks
BACK,Employee using shovel cleanup spillage around wet processing plan Later afternoon repeated usage shovel started discomfort Note Injury officially reported PM
BACK,Employee bent felt pain back
BACK,Went power center use mine phone rock fell hit back
FINGER(S),Employee loading timber scoop bucket smashed finger timber side scoop bucket
FINGER(S),Employee removing hammers dropped section onto right hand causing abrasion right pinky finger
FINGER(S),Employee alleges trying move rocks pinned middle finger rocks He started loosing time went Dr
BACK,Employee stated carrying track bonder walking coworker felt pain lower back
